1,9
2,3
93,3
94,2
95,5
96,8
97,4
98,4
99,5
1,10
3,1
92,1
94,2
95,6
96,6
97,9
98,5
99,2
1,10
2,2
89,1
93,1
94,2
95,5
96,7
97,5
98,6
99,4
1,10
88,1
93,1
94,2
95,3
96,7
97,7
98,5
99,5
1,6
2,1
3,1
92,3
93,1
95,5
96,6
97,6
98,3
99,7
1,8
2,2
92,1
93,3
95,3
96,9
97,7
98,3
99,5
2,4
3,8
4,6
5,6
6,7
7,8
8,3
9,5
10,4
11,3
12,3
13,2
14,1
16,3
69,2
71,1
75,2
78,6
79,2
80,1
81,2
82,2
83,3
86,2
88,1
90,1
91,1
92,3
94,1
99,1
0,0
1,3
2,2
3,12
4,3
5,8
6,6
7,6
8,4
9,6
10,3
11,2
12,2
13,3
14,2
15,0
16,0
17,0
18,1
19,0
20,0
21,0
22,1
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,1
36,0
37,0
38,0
39,0
40,0
41,0
42,0
43,0
44,0
45,0
46,0
47,0
48,0
49,0
50,0
51,0
52,0
53,0
54,0
55,1
56,0
57,0
58,1
59,0
60,0
61,0
62,0
63,0
64,0
65,0
66,1
67,0
68,0
69,0
70,0
71,1
72,1
73,0
74,2
75,0
76,2
77,0
78,1
79,0
80,1
81,1
82,1
83,2
84,3
85,1
86,2
87,2
88,1
89,2
90,2
91,0
92,1
93,0
94,1
95,0
96,0
97,0
98,0
99,1
